epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.05,0.5385187268257141,0.5467522740364075,0.6804477572441101,0.6886813044548035,0.8126041666666667,0.8105833333333333,0.6886813044548035,0.8105833333333333,val,0.8616786063909531,15.949461936950684,5.428877353668213
1,0.04965903258506806,0.46480128169059753,0.47714078426361084,0.6050715446472168,0.6174110174179077,0.8404583333333333,0.8365,0.6174110174179077,0.8365,val,0.6396802043914795,15.73183536529541,5.748901844024658
2,0.04864543104251587,0.45852503180503845,0.47466516494750977,0.5961228609085083,0.612263023853302,0.8380416666666667,0.8316666666666667,0.612263023853302,0.8316666666666667,val,0.5974362708727519,15.48613166809082,5.947724342346191
3,0.04698684378016223,0.4235156178474426,0.44283992052078247,0.5583150386810303,0.5776393413543701,0.8527083333333333,0.8441666666666666,0.5776393413543701,0.8441666666666666,val,0.570897387623787,15.244572639465332,6.099331855773926
4,0.044728512734909846,0.40965965390205383,0.4294862449169159,0.5417798161506653,0.5616064071655273,0.8563958333333334,0.8478333333333333,0.5616064071655273,0.8478333333333333,val,0.5511117805242538,15.014705657958984,6.228882789611816
5,0.041932039290643534,0.38788074254989624,0.4071544110774994,0.5174362063407898,0.5367099046707153,0.8661666666666666,0.858,0.5367099046707153,0.858,val,0.534469899614652,14.798944473266602,6.332625389099121
6,0.038673703953060676,0.39094212651252747,0.41259634494781494,0.5183154940605164,0.5399696826934814,0.8653541666666666,0.85575,0.5399696826934814,0.85575,val,0.5204363398154577,14.608222007751465,6.430129051208496
7,0.035042385616324244,0.376151442527771,0.3988513648509979,0.5015087127685547,0.5242086052894592,0.8687291666666667,0.8591666666666666,0.5242086052894592,0.8591666666666666,val,0.5091638687054316,14.433076858520508,6.5115838050842285
8,0.031137137178519982,0.3655233085155487,0.39034587144851685,0.48918265104293823,0.514005184173584,0.8750208333333334,0.866,0.514005184173584,0.866,val,0.49818074679374696,14.281222343444824,6.585234642028809
9,0.027064483636808315,0.36915430426597595,0.3969794809818268,0.4913085997104645,0.5191338062286377,0.8719166666666667,0.86275,0.5191338062286377,0.86275,val,0.49011063679059347,14.147993087768555,6.644012451171875
10,0.022935516363191695,0.35389596223831177,0.3808910846710205,0.47479215264320374,0.5017873048782349,0.8779375,0.8689166666666667,0.5017873048782349,0.8689166666666667,val,0.483087870935599,14.036324501037598,6.691335678100586
11,0.01886286282148003,0.3494918942451477,0.3777519464492798,0.46940183639526367,0.49766188859939575,0.8788541666666667,0.86925,0.49766188859939575,0.86925,val,0.4766618885596593,13.945365905761719,6.73399019241333
12,0.014957614383675766,0.3498237729072571,0.3784867227077484,0.46897774934768677,0.4976406991481781,0.8789166666666667,0.8671666666666666,0.4976406991481781,0.8671666666666666,val,0.47141722758611043,13.873930931091309,6.769192218780518
13,0.011326296046939325,0.34907495975494385,0.3763714134693146,0.4676557183265686,0.49495217204093933,0.878875,0.8719166666666667,0.49495217204093933,0.8719166666666667,val,0.46711645676692326,13.819781303405762,6.79522705078125
14,0.008067960709356479,0.3433064818382263,0.37089982628822327,0.46146586537361145,0.4890592098236084,0.8809791666666666,0.87375,0.4890592098236084,0.87375,val,0.4641390791932742,13.780386924743652,6.813199996948242
15,0.005271487265090163,0.3416406512260437,0.3713076114654541,0.4595277011394501,0.4891946613788605,0.8819166666666667,0.8709166666666667,0.4891946613788605,0.8709166666666667,val,0.4616867012580236,13.75468635559082,6.825150966644287
16,0.003013156219837776,0.34106552600860596,0.3704338073730469,0.45880335569381714,0.48817163705825806,0.8816458333333334,0.87275,0.48817163705825806,0.87275,val,0.45961609625816346,13.740078926086426,6.832706928253174
17,0.0013545689574841315,0.3403782546520233,0.3697156310081482,0.45805054903030396,0.4873879551887512,0.8820208333333334,0.87225,0.4873879551887512,0.87225,val,0.4586908259789149,13.733573913574219,6.836193084716797
18,0.00034096741493194196,0.34024861454963684,0.36978697776794434,0.45790401101112366,0.48744237422943115,0.8822083333333334,0.87175,0.48744237422943115,0.87175,val,0.4581174807349841,13.73192024230957,6.837040424346924
19,0.0,0.34024861454963684,0.36978697776794434,0.45790401101112366,0.48744237422943115,0.8822083333333334,0.87175,0.48744237422943115,0.87175,val,0.45790400230884554,13.73192024230957,6.837040424346924
