epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.005,1.1622841358184814,1.1630250215530396,1.176174283027649,1.176915168762207,0.6644583333333334,0.66425,1.176915168762207,0.66425,val,1.6578725786209108,16.026926040649414,4.576202869415283
1,0.004965903258506806,0.8659970760345459,0.8683599233627319,0.8800395727157593,0.8824024200439453,0.721875,0.721,0.8824024200439453,0.721,val,0.9987697281837463,16.072967529296875,4.744420051574707
2,0.004864543104251586,0.7536417841911316,0.7569479942321777,0.7678000926971436,0.7711063027381897,0.7528958333333333,0.75325,0.7711063027381897,0.75325,val,0.8183662028312683,16.10745620727539,4.8699235916137695
3,0.004698684378016222,0.6938661932945251,0.6980911493301392,0.7081139087677002,0.7123388648033142,0.7748125,0.77375,0.7123388648033142,0.77375,val,0.7358565117518107,16.133705139160156,4.965627193450928
4,0.004472851273490984,0.6555992960929871,0.6610687375068665,0.6699208617210388,0.6753903031349182,0.7878333333333334,0.78825,0.6753903031349182,0.78825,val,0.6873434723218282,16.1551570892334,5.044057369232178
5,0.004193203929064353,0.6273594498634338,0.633328914642334,0.6417422890663147,0.6477117538452148,0.7955,0.7954166666666667,0.6477117538452148,0.7954166666666667,val,0.6550305620829264,16.172761917114258,5.108646392822266
6,0.0038673703953060676,0.6077619791030884,0.6138049960136414,0.6221970915794373,0.6282401084899902,0.7985625,0.798,0.6282401084899902,0.798,val,0.6310947318077087,16.187673568725586,5.163508892059326
7,0.003504238561632424,0.5909324288368225,0.5973294377326965,0.6054111123085022,0.6118081212043762,0.806,0.8064166666666667,0.6118081212043762,0.8064166666666667,val,0.6136714422702789,16.199987411499023,5.209046363830566
8,0.003113713717851998,0.5788991451263428,0.5856449604034424,0.5934147834777832,0.6001605987548828,0.8096666666666666,0.8100833333333334,0.6001605987548828,0.8100833333333334,val,0.5998967118263244,16.210372924804688,5.247547626495361
9,0.0027064483636808313,0.5696791410446167,0.5762077569961548,0.584225594997406,0.5907542109489441,0.8118958333333334,0.8110833333333334,0.5907542109489441,0.8110833333333334,val,0.5891444001197815,16.218975067138672,5.279531955718994
10,0.0022935516363191692,0.5622482895851135,0.5692472457885742,0.576819658279419,0.5838186144828796,0.814625,0.8141666666666667,0.5838186144828796,0.8141666666666667,val,0.5809452597300212,16.22590446472168,5.30539083480835
11,0.001886286282148003,0.5567063689231873,0.5638768076896667,0.5712977647781372,0.5784682035446167,0.8168333333333333,0.815,0.5784682035446167,0.815,val,0.5745803883075714,16.23145866394043,5.326136589050293
12,0.0014957614383675766,0.5527343153953552,0.5602366328239441,0.5673410296440125,0.5748433470726013,0.8175625,0.8159166666666666,0.5748433470726013,0.8159166666666666,val,0.5697238046328227,16.235681533813477,5.341952323913574
13,0.0011326296046939325,0.5497479438781738,0.5569356679916382,0.5643661618232727,0.5715538859367371,0.8181458333333333,0.8166666666666667,0.5715538859367371,0.8166666666666667,val,0.5660812094211578,16.238866806030273,5.35388708114624
14,0.0008067960709356478,0.5476992726325989,0.5551825165748596,0.5623255968093872,0.569808840751648,0.8190625,0.8166666666666667,0.569808840751648,0.8166666666666667,val,0.5634544361432393,16.2410831451416,5.362236499786377
15,0.0005271487265090163,0.5463053584098816,0.5538228750228882,0.5609369277954102,0.5684544444084167,0.8194166666666667,0.8170833333333334,0.5684544444084167,0.8170833333333334,val,0.5617563159465789,16.242517471313477,5.367648601531982
16,0.0003013156219837776,0.5455238819122314,0.552895724773407,0.5601584315299988,0.5675302743911743,0.8197083333333334,0.8173333333333334,0.5675302743911743,0.8173333333333334,val,0.5606449070771535,16.24335289001465,5.370738983154297
17,0.00013545689574841313,0.5451909303665161,0.5526046752929688,0.5598268508911133,0.5672405958175659,0.8197083333333334,0.8171666666666667,0.5672405958175659,0.8171666666666667,val,0.5600522657235464,16.243724822998047,5.372106552124023
18,3.40967414931942e-05,0.5451077818870544,0.5525214672088623,0.5597440004348755,0.5671576857566833,0.8197708333333333,0.8171666666666667,0.5671576857566833,0.8171666666666667,val,0.5598013548056284,16.243818283081055,5.3724517822265625
19,0.0,0.5451077818870544,0.5525214672088623,0.5597440004348755,0.5671576857566833,0.8197708333333333,0.8171666666666667,0.5671576857566833,0.8171666666666667,val,0.5597440063158671,16.243818283081055,5.3724517822265625
