epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.005,1.11983323097229,1.1188043355941772,1.3864582777023315,1.3854293823242188,0.6670625,0.66725,1.3854293823242188,0.66725,val,1.8830942942301432,22.6373291015625,4.560866832733154
1,0.004965903258506806,0.8459343910217285,0.846361517906189,1.113144874572754,1.1135720014572144,0.7235833333333334,0.7218333333333333,1.1135720014572144,0.7218333333333333,val,1.2219939959843953,22.631683349609375,4.714654445648193
2,0.004864543104251586,0.7444126605987549,0.7466945648193359,1.0118389129638672,1.0141208171844482,0.7599166666666667,0.7570833333333333,1.0141208171844482,0.7570833333333333,val,1.0573463106155396,22.617801666259766,4.82570743560791
3,0.004698684378016222,0.6874610781669617,0.6905377507209778,0.954918384552002,0.9579950571060181,0.780375,0.7791666666666667,0.9579950571060181,0.7791666666666667,val,0.9818760959307352,22.600635528564453,4.911806106567383
4,0.004472851273490984,0.6506063342094421,0.6539435982704163,0.9179917573928833,0.9213290214538574,0.7922916666666666,0.7899166666666667,0.9213290214538574,0.7899166666666667,val,0.936036119778951,22.5821533203125,4.981687545776367
5,0.004193203929064353,0.6236189007759094,0.6279146075248718,0.8908772468566895,0.8951729536056519,0.7979375,0.7964166666666667,0.8951729536056519,0.7964166666666667,val,0.9044846396446228,22.563629150390625,5.039772033691406
6,0.0038673703953060676,0.6048303842544556,0.6091008186340332,0.8719286322593689,0.8761990666389465,0.8016666666666666,0.802,0.8761990666389465,0.802,val,0.881517231464386,22.545557022094727,5.088644504547119
7,0.003504238561632424,0.5897566676139832,0.5947830677032471,0.8566806316375732,0.8617069721221924,0.8085625,0.8085833333333333,0.8617069721221924,0.8085833333333333,val,0.8640785361925761,22.528623580932617,5.129234790802002
8,0.003113713717851998,0.5778642296791077,0.5824763774871826,0.8446142673492432,0.8492264747619629,0.8099166666666666,0.8116666666666666,0.8492264747619629,0.8116666666666666,val,0.8504799571037293,22.51312255859375,5.163280487060547
9,0.0027064483636808313,0.5685569047927856,0.5735211968421936,0.8351417779922485,0.8401060104370117,0.8153958333333333,0.8145833333333333,0.8401060104370117,0.8145833333333333,val,0.84022598695755,22.499370574951172,5.191156387329102
10,0.0022935516363191692,0.561793863773346,0.5670152306556702,0.8282313346862793,0.8334527015686035,0.8161666666666667,0.81675,0.8334527015686035,0.81675,val,0.8320315976142884,22.487567901611328,5.213855743408203
11,0.001886286282148003,0.5565011501312256,0.5619076490402222,0.8228100538253784,0.828216552734375,0.8178125,0.8175,0.828216552734375,0.8175,val,0.8257986486752827,22.477643966674805,5.231954574584961
12,0.0014957614383675766,0.5523134469985962,0.5578246116638184,0.8185182809829712,0.8240294456481934,0.818875,0.8184166666666667,0.8240294456481934,0.8184166666666667,val,0.8209020454088847,22.46976661682129,5.245872497558594
13,0.0011326296046939325,0.5494651794433594,0.5550153851509094,0.8155889511108398,0.8211392164230347,0.8192708333333333,0.82025,0.8211392164230347,0.82025,val,0.8174307036399842,22.463741302490234,5.256227016448975
14,0.0008067960709356478,0.547492265701294,0.5531984567642212,0.8135576248168945,0.8192638158798218,0.8203125,0.8198333333333333,0.8192638158798218,0.8198333333333333,val,0.8148202791213989,22.459449768066406,5.26344108581543
15,0.0005271487265090163,0.5462432503700256,0.5518508553504944,0.8122696280479431,0.8178772330284119,0.8205833333333333,0.82025,0.8178772330284119,0.82025,val,0.8130488470395406,22.456623077392578,5.268092632293701
16,0.0003013156219837776,0.5455145835876465,0.5511578917503357,0.811518669128418,0.817162036895752,0.8207083333333334,0.8209166666666666,0.817162036895752,0.8209166666666666,val,0.8119659215609233,22.455005645751953,5.270759105682373
17,0.00013545689574841313,0.5451707243919373,0.550858736038208,0.8111650347709656,0.8168530464172363,0.8209166666666666,0.82025,0.8168530464172363,0.82025,val,0.811399260520935,22.45429229736328,5.271940231323242
18,3.40967414931942e-05,0.545089840888977,0.5507821440696716,0.8110823631286621,0.8167746663093567,0.8208958333333334,0.8204166666666667,0.8167746663093567,0.8204166666666667,val,0.8111397182146708,22.454143524169922,5.272242069244385
19,0.0,0.545089840888977,0.5507821440696716,0.8110823631286621,0.8167746663093567,0.8208958333333334,0.8204166666666667,0.8167746663093567,0.8204166666666667,val,0.8110823788642884,22.454143524169922,5.272242069244385
