epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.07,0.49977535009384155,0.5086467266082764,0.6413538455963135,0.6502252817153931,0.8298541666666667,0.8251666666666667,0.6502252817153931,0.8251666666666667,val,0.8128354130983353,15.916483879089355,5.46100378036499
1,0.06952264561909528,0.4756046533584595,0.4888956844806671,0.6138817667961121,0.6271728277206421,0.8350625,0.8315833333333333,0.6271728277206421,0.8315833333333333,val,0.6258643937905629,15.587800979614258,5.794363975524902
2,0.06810360345952221,0.4121926724910736,0.42857739329338074,0.5465322732925415,0.5629169940948486,0.8595416666666666,0.8514166666666667,0.5629169940948486,0.8514166666666667,val,0.5833002463181813,15.24837875366211,6.013826370239258
3,0.06578158129222712,0.42372071743011475,0.4453244209289551,0.554041862487793,0.5756455659866333,0.8494583333333333,0.8385,0.5756455659866333,0.8385,val,0.5543649943669637,14.917203903198242,6.174079418182373
4,0.06261991782887379,0.38996997475624084,0.41185975074768066,0.516628086566925,0.5385178923606873,0.8635416666666667,0.8573333333333333,0.5385178923606873,0.8573333333333333,val,0.5338687574863434,14.611078262329102,6.311312675476074
5,0.058704855006900945,0.3745096027851105,0.39725619554519653,0.4977816045284271,0.5205281972885132,0.8697083333333333,0.8649166666666667,0.5205281972885132,0.8649166666666667,val,0.51617804423968,14.326918601989746,6.4252119064331055
6,0.054143185534284946,0.36329659819602966,0.39066535234451294,0.48363548517227173,0.5110042691230774,0.8732291666666666,0.8626666666666667,0.5110042691230774,0.8626666666666667,val,0.5000906227032343,14.072300910949707,6.53055477142334
7,0.04905933986285394,0.35508033633232117,0.38315755128860474,0.47297537326812744,0.5010526180267334,0.87725,0.8685,0.5010526180267334,0.8685,val,0.4864510697921117,13.849040031433105,6.632809162139893
8,0.043591992049927974,0.3625979721546173,0.3911624252796173,0.47823289036750793,0.5067973136901855,0.8721875,0.8628333333333333,0.5067973136901855,0.8628333333333333,val,0.4767274097204208,13.649408340454102,6.705482482910156
9,0.03789027709153164,0.3471311032772064,0.3792506456375122,0.46100476384162903,0.4931243062019348,0.8794375,0.8671666666666666,0.4931243062019348,0.8671666666666666,val,0.46672253421942395,13.48389720916748,6.777305603027344
10,0.03210972290846838,0.3455086350440979,0.37880924344062805,0.45782268047332764,0.4911232888698578,0.8807291666666667,0.8683333333333333,0.4911232888698578,0.8683333333333333,val,0.4581537270943324,13.339816093444824,6.832085609436035
11,0.026408007950072043,0.3379078805446625,0.3724614679813385,0.44903576374053955,0.4835893511772156,0.8833333333333333,0.8695833333333334,0.4835893511772156,0.8695833333333334,val,0.45180949425697325,13.225286483764648,6.880955696105957
12,0.020940660137146076,0.3306974172592163,0.3640672266483307,0.4409356415271759,0.4743054509162903,0.8851875,0.8710833333333333,0.4743054509162903,0.8710833333333333,val,0.4458598315914472,13.136344909667969,6.9219160079956055
13,0.015856814465715057,0.32753297686576843,0.36204174160957336,0.437080979347229,0.47158974409103394,0.886375,0.8739166666666667,0.47158974409103394,0.8739166666666667,val,0.4409744972785314,13.0678129196167,6.9518513679504395
14,0.01129514499309907,0.3254585266113281,0.3606483042240143,0.4345356822013855,0.46972545981407166,0.8868125,0.8735833333333334,0.46972545981407166,0.8735833333333334,val,0.4367979489167531,13.019125938415527,6.975432872772217
15,0.007380082171126229,0.3233835995197296,0.35905224084854126,0.43215930461883545,0.4678279459476471,0.8872916666666667,0.8749166666666667,0.4678279459476471,0.8749166666666667,val,0.43395882586638135,12.98746395111084,6.991221904754639
16,0.004218418707772887,0.3218861222267151,0.35789811611175537,0.4304916262626648,0.4665036201477051,0.8883125,0.8758333333333334,0.4665036201477051,0.8758333333333334,val,0.4320400660832723,12.969139099121094,7.000887870788574
17,0.0018963965404777841,0.3212112784385681,0.3569064140319824,0.4297391474246979,0.4654342830181122,0.88825,0.8765833333333334,0.4654342830181122,0.8765833333333334,val,0.4305705461104711,12.960824012756348,7.005197048187256
18,0.0004773543809047188,0.32104817032814026,0.3568367660045624,0.4295567572116852,0.4653453528881073,0.8881875,0.8756666666666667,0.4653453528881073,0.8756666666666667,val,0.4298187499642372,12.958762168884277,7.006255626678467
19,0.0,0.32104817032814026,0.3568367660045624,0.4295567572116852,0.4653453528881073,0.8881875,0.8756666666666667,0.4653453528881073,0.8756666666666667,val,0.4295567722320557,12.958762168884277,7.006255626678467
