epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.07,0.512042224407196,0.5201764702796936,0.6542966365814209,0.6624308824539185,0.820375,0.8173333333333334,0.6624308824539185,0.8173333333333334,val,0.8150852700869242,15.935606002807617,5.528592109680176
1,0.06952264561909528,0.4456530809402466,0.45998314023017883,0.5844163298606873,0.5987463593482971,0.8461041666666667,0.842,0.5987463593482971,0.842,val,0.6244720990657806,15.601221084594727,5.841947078704834
2,0.06810360345952221,0.41442203521728516,0.4321989417076111,0.5491806268692017,0.5669575333595276,0.8590416666666667,0.8530833333333333,0.5669575333595276,0.8530833333333333,val,0.5817296520471573,15.260409355163574,6.052851676940918
3,0.06578158129222712,0.4130486249923706,0.4310190975666046,0.5436769723892212,0.5616474747657776,0.8557708333333334,0.8526666666666667,0.5616474747657776,0.8526666666666667,val,0.5532231460014979,14.922008514404297,6.212111949920654
4,0.06261991782887379,0.38273462653160095,0.4026644229888916,0.5095533132553101,0.5294830799102783,0.8671041666666667,0.863,0.5294830799102783,0.863,val,0.5324934103886286,14.609624862670898,6.340044975280762
5,0.058704855006900945,0.3912772238254547,0.41495564579963684,0.5145128965377808,0.5381913185119629,0.864375,0.8565833333333334,0.5381913185119629,0.8565833333333334,val,0.5140517766475677,14.317072868347168,6.4414849281311035
6,0.054143185534284946,0.41679903864860535,0.4434146583080292,0.5369769930839539,0.5635926127433777,0.8525208333333333,0.8461666666666666,0.5635926127433777,0.8461666666666666,val,0.5001326948006948,14.058690071105957,6.535221576690674
7,0.04905933986285394,0.3603956401348114,0.3883240222930908,0.4779910445213318,0.5059194564819336,0.8735208333333333,0.8673333333333333,0.5059194564819336,0.8673333333333333,val,0.4864752620855967,13.83293342590332,6.621236801147461
8,0.043591992049927974,0.35716745257377625,0.3891542851924896,0.4725712537765503,0.5045580863952637,0.8755,0.8638333333333333,0.5045580863952637,0.8638333333333333,val,0.4764473034540812,13.637039184570312,6.696174621582031
9,0.03789027709153164,0.35183244943618774,0.3870270252227783,0.4654505252838135,0.500645101070404,0.8781875,0.8653333333333333,0.500645101070404,0.8653333333333333,val,0.466729177514712,13.470749855041504,6.765727519989014
10,0.03210972290846838,0.3357272744178772,0.37022119760513306,0.4477907121181488,0.48228463530540466,0.88275,0.8720833333333333,0.48228463530540466,0.8720833333333333,val,0.4577796161174774,13.326549530029297,6.821286678314209
11,0.026408007950072043,0.3347596824169159,0.3694126009941101,0.44564345479011536,0.48029637336730957,0.8843958333333334,0.8738333333333334,0.48029637336730957,0.8738333333333334,val,0.4513529490629832,13.211854934692383,6.871275424957275
12,0.020940660137146076,0.32753556966781616,0.36080819368362427,0.4375188648700714,0.4707914888858795,0.8862291666666666,0.87625,0.4707914888858795,0.87625,val,0.4455858738819758,13.121691703796387,6.912871837615967
13,0.015856814465715057,0.3327275514602661,0.3691332936286926,0.4420444965362549,0.4784502387046814,0.8843541666666667,0.8693333333333333,0.4784502387046814,0.8693333333333333,val,0.4405992137988408,13.053828239440918,6.944886684417725
14,0.01129514499309907,0.32673799991607666,0.3624840974807739,0.43559500575065613,0.4713411033153534,0.8870208333333334,0.8751666666666666,0.4713411033153534,0.8751666666666666,val,0.4367660905718803,13.00568675994873,6.9689412117004395
15,0.007380082171126229,0.3225705027580261,0.35877692699432373,0.43111076951026917,0.4673171937465668,0.8874375,0.8765,0.4673171937465668,0.8765,val,0.4340127978126208,12.973485946655273,6.983491897583008
16,0.004218418707772887,0.3218561112880707,0.3579723834991455,0.4302193820476532,0.466335654258728,0.8875625,0.8761666666666666,0.466335654258728,0.8761666666666666,val,0.4316083543300629,12.954967498779297,6.992521286010742
17,0.0018963965404777841,0.3213968873023987,0.35765373706817627,0.42968082427978516,0.46593767404556274,0.8878541666666667,0.8763333333333333,0.46593767404556274,0.8763333333333333,val,0.43057528843482334,12.946614265441895,6.996644496917725
18,0.0004773543809047188,0.3212413191795349,0.35785213112831116,0.4295053482055664,0.46611618995666504,0.88775,0.8768333333333334,0.46611618995666504,0.8768333333333334,val,0.4297789719104767,12.944514274597168,6.997688293457031
19,0.0,0.3212413191795349,0.35785213112831116,0.4295053482055664,0.46611618995666504,0.88775,0.8768333333333334,0.46611618995666504,0.8768333333333334,val,0.4295053516427676,12.944514274597168,6.997688293457031
