epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
19,0.13453650544213078,0.19945955276489258,nan,0.24210858345031738,nan,0.9268333333333333,nan,0.24210858345031738,0.9268333333333333,train,0.2419977061259848,26.283973693847656,12.733152389526367
20,0.12845275866310324,0.19898100197315216,nan,0.242047518491745,nan,0.9274333333333333,nan,0.242047518491745,0.9274333333333333,train,0.23667351420976715,26.353347778320312,12.916326522827148
21,0.12225209339563144,0.17589795589447021,nan,0.21933302283287048,nan,0.9385,nan,0.21933302283287048,0.9385,train,0.23278055486203766,26.413591384887695,13.077607154846191
22,0.11595998950333795,0.18908977508544922,nan,0.23285093903541565,nan,0.9303333333333333,nan,0.23285093903541565,0.9303333333333333,train,0.22792214050348888,26.46073341369629,13.230767250061035
23,0.1096023025907682,0.17769072949886322,nan,0.22178731858730316,nan,0.9359333333333333,nan,0.22178731858730316,0.9359333333333333,train,0.22293452537263125,26.50801658630371,13.388684272766113
24,0.10320515775716554,0.17315515875816345,nan,0.21754024922847748,nan,0.9370833333333334,nan,0.21754024922847748,0.9370833333333334,train,0.21877131845428746,26.54483413696289,13.530468940734863
25,0.09679484224283448,0.1729104071855545,nan,0.2175825536251068,nan,0.9365,nan,0.2175825536251068,0.9365,train,0.2133499411488774,26.577896118164062,13.676926612854004
26,0.09039769740923183,0.15279856324195862,nan,0.19772009551525116,nan,0.9474333333333333,nan,0.19772009551525116,0.9474333333333333,train,0.21024868818424913,26.60329818725586,13.809244155883789
27,0.08404001049666208,0.1588132232427597,nan,0.20397236943244934,nan,0.94345,nan,0.20397236943244934,0.94345,train,0.2057329808423387,26.625324249267578,13.938261032104492
28,0.07774790660436857,0.15278102457523346,nan,0.19814720749855042,nan,0.9472666666666667,nan,0.19814720749855042,0.9472666666666667,train,0.20237525293567796,26.640962600708008,14.056419372558594
29,0.07154724133689676,0.1508532166481018,nan,0.1964167356491089,nan,0.9463333333333334,nan,0.1964167356491089,0.9463333333333334,train,0.19809307501927367,26.653533935546875,14.1724853515625
30,0.06546349455786925,0.14581921696662903,nan,0.19156381487846375,nan,0.948,nan,0.19156381487846375,0.948,train,0.1945096361182773,26.6633243560791,14.281426429748535
31,0.05952166568776063,0.14566609263420105,nan,0.19156762957572937,nan,0.9497,nan,0.19156762957572937,0.9497,train,0.1912117635628689,26.66869354248047,14.380938529968262
32,0.053746170975916496,0.14660412073135376,nan,0.19264915585517883,nan,0.94845,nan,0.19264915585517883,0.94845,train,0.1877095735133457,26.67177963256836,14.474695205688477
