epoch,lr,train_ce_loss,val_ce_loss,train_total_loss,val_total_loss,train_acc,val_acc,tracked_total_loss,tracked_acc,tracked_metric_source,batch_loss,weight_norm_w1,weight_norm_w2
0,0.12,0.4904143214225769,0.5027973651885986,0.5184050798416138,0.5307881236076355,0.8296875,0.82525,0.5307881236076355,0.82525,val,0.6574456850290299,22.914501190185547,5.894179344177246
1,0.11918167820416334,0.4215244650840759,0.43440109491348267,0.4501953125,0.46307194232940674,0.8542708333333333,0.8519166666666667,0.46307194232940674,0.8519166666666667,val,0.48467834015687306,23.043170928955078,6.513784408569336
2,0.11674903450203807,0.409943550825119,0.43038907647132874,0.43919602036476135,0.45964154601097107,0.8515,0.8465833333333334,0.45964154601097107,0.8465833333333334,val,0.43814098079999286,23.152040481567383,7.002294063568115
3,0.11276842507238934,0.34565675258636475,0.37421369552612305,0.37541663646698,0.4039735794067383,0.8783541666666667,0.8673333333333333,0.4039735794067383,0.8673333333333333,val,0.40715157771110533,23.245555877685547,7.405513286590576
4,0.10734843056378361,0.3386141359806061,0.37412604689598083,0.3688124716281891,0.40432438254356384,0.878,0.8669166666666667,0.40432438254356384,0.8669166666666667,val,0.3858256919781367,23.322786331176758,7.746885299682617
5,0.10063689429754447,0.31449347734451294,0.35569921135902405,0.3450823724269867,0.3862881064414978,0.8874791666666667,0.8740833333333333,0.3862881064414978,0.8740833333333333,val,0.36901161696513496,23.389986038208008,8.042801856994629
6,0.09281688948734561,0.30258792638778687,0.34575194120407104,0.3335281014442444,0.37669211626052856,0.8919583333333333,0.8771666666666667,0.37669211626052856,0.8771666666666667,val,0.3521883254448573,23.445201873779297,8.314188003540039
7,0.08410172547917817,0.3032311499118805,0.3528308570384979,0.33448395133018494,0.38408365845680237,0.89075,0.87275,0.38408365845680237,0.87275,val,0.3390949289600054,23.49178123474121,8.5552339553833
8,0.07472912922844795,0.28914308547973633,0.3421974182128906,0.3206504285335541,0.3737047612667084,0.8964375,0.8811666666666667,0.3737047612667084,0.8811666666666667,val,0.3274607066313426,23.524871826171875,8.759408950805664
9,0.06495476072833994,0.27485135197639465,0.3256210386753082,0.3065757155418396,0.3573454022407532,0.9024583333333334,0.8871666666666667,0.3573454022407532,0.8871666666666667,val,0.3187060010532538,23.5502872467041,8.937089920043945
10,0.055045239271660065,0.2789500057697296,0.33597874641418457,0.31086012721061707,0.367888867855072,0.8990625,0.8811666666666667,0.367888867855072,0.8811666666666667,val,0.3092780564228694,23.569717407226562,9.092351913452148
11,0.04527087077155206,0.25796228647232056,0.3153257966041565,0.29001516103744507,0.347378671169281,0.9080416666666666,0.8915,0.347378671169281,0.8915,val,0.301927526752154,23.581174850463867,9.218769073486328
12,0.03589827452082184,0.25829875469207764,0.3185848891735077,0.29046958684921265,0.3507557213306427,0.9072708333333334,0.88875,0.3507557213306427,0.88875,val,0.29449309917291006,23.589515686035156,9.324772834777832
13,0.027183110512654377,0.25177571177482605,0.3157828450202942,0.28403809666633606,0.3480452299118042,0.9102708333333334,0.8885833333333333,0.3480452299118042,0.8885833333333333,val,0.289139051536719,23.59517478942871,9.40825080871582
14,0.019363105702455547,0.2500125467777252,0.3119986653327942,0.2823393940925598,0.34432554244995117,0.91125,0.8920833333333333,0.34432554244995117,0.8920833333333333,val,0.2841075290342172,23.59815788269043,9.469117164611816
15,0.012651569436216393,0.24431225657463074,0.31022340059280396,0.2766808867454529,0.3425920307636261,0.912875,0.8915,0.3425920307636261,0.8915,val,0.2801100104749203,23.59958839416504,9.509561538696289
16,0.007231574927610662,0.24233093857765198,0.3081408143043518,0.2747243344783783,0.3405342102050781,0.9144791666666666,0.8931666666666667,0.3405342102050781,0.8931666666666667,val,0.27741647996505103,23.600351333618164,9.533708572387695
17,0.003250965497961915,0.24231001734733582,0.3093511760234833,0.2747146785259247,0.34175583720207214,0.9139166666666667,0.8916666666666667,0.34175583720207214,0.8916666666666667,val,0.27536399189631144,23.600650787353516,9.544764518737793
18,0.0008183217958366606,0.24131618440151215,0.3079334795475006,0.2737237215042114,0.3403410017490387,0.9144791666666666,0.89275,0.3403410017490387,0.89275,val,0.2741777162353198,23.60071563720703,9.547615051269531
19,0.0,0.24131618440151215,0.3079334795475006,0.2737237215042114,0.3403410017490387,0.9144791666666666,0.89275,0.3403410017490387,0.89275,val,0.27372370213270186,23.60071563720703,9.547615051269531
