lr,hidden,batch,l2,activation,seed_count,val_acc_mean,val_acc_std,best_val_acc_single_seed,best_epoch_at_best_seed,elapsed_sec,seed_details
0.24,256,64,0.0001,relu,5,0.898400,0.001465,0.900583,18,159.05,"[{""seed"": 42, ""best_val_acc"": 0.8983333333333333, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8969166666666667, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.8994166666666666, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.89675, ""best_epoch"": 18}, {""seed"": 82, ""best_val_acc"": 0.9005833333333333, ""best_epoch"": 18}]"
0.25,256,64,0.0001,relu,5,0.898933,0.001127,0.900417,18,152.86,"[{""seed"": 42, ""best_val_acc"": 0.89975, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8973333333333333, ""best_epoch"": 18}, {""seed"": 62, ""best_val_acc"": 0.8991666666666667, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.898, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.9004166666666666, ""best_epoch"": 18}]"
0.26,256,64,0.0001,relu,5,0.898800,0.001465,0.900500,17,161.73,"[{""seed"": 42, ""best_val_acc"": 0.8996666666666666, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8970833333333333, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.9005, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.897, ""best_epoch"": 16}, {""seed"": 82, ""best_val_acc"": 0.89975, ""best_epoch"": 15}]"
0.28,256,64,0.0001,relu,5,0.898633,0.000903,0.899750,15,156.30,"[{""seed"": 42, ""best_val_acc"": 0.89925, ""best_epoch"": 14}, {""seed"": 52, ""best_val_acc"": 0.8970833333333333, ""best_epoch"": 16}, {""seed"": 62, ""best_val_acc"": 0.8986666666666666, ""best_epoch"": 17}, {""seed"": 72, ""best_val_acc"": 0.8984166666666666, ""best_epoch"": 17}, {""seed"": 82, ""best_val_acc"": 0.89975, ""best_epoch"": 15}]"
0.3,256,64,0.0001,relu,5,0.899167,0.001253,0.901417,15,152.56,"[{""seed"": 42, ""best_val_acc"": 0.8991666666666667, ""best_epoch"": 18}, {""seed"": 52, ""best_val_acc"": 0.8975833333333333, ""best_epoch"": 17}, {""seed"": 62, ""best_val_acc"": 0.899, ""best_epoch"": 14}, {""seed"": 72, ""best_val_acc"": 0.8986666666666666, ""best_epoch"": 15}, {""seed"": 82, ""best_val_acc"": 0.9014166666666666, ""best_epoch"": 15}]"
